MIN,MAX,ID
1,3,Dungeon1
1,3,Dungeon2
1,3,Dungeon3
4,6,Dungeon1
4,6,Dungeon2
4,6,Dungeon3
7,10,Dungeon1
7,10,Dungeon2
7,10,Dungeon3
11,13,Dungeon4
11,13,Dungeon5
11,13,Dungeon6
11,13,Dungeon7
11,13,Dungeon8
11,13,Dungeon9
11,13,Dungeon10
14,16,Dungeon4
14,16,Dungeon5
14,16,Dungeon6
14,16,Dungeon7
14,16,Dungeon8
14,16,Dungeon9
14,16,Dungeon10
17,19,Dungeon4
17,19,Dungeon5
17,19,Dungeon6
17,19,Dungeon7
17,19,Dungeon8
17,19,Dungeon9
17,19,Dungeon10
20,22,Dungeon4
20,22,Dungeon5
20,22,Dungeon6
20,22,Dungeon7
20,22,Dungeon8
20,22,Dungeon9
20,22,Dungeon10
23,25,Dungeon4
23,25,Dungeon5
23,25,Dungeon6
23,25,Dungeon7
23,25,Dungeon8
23,25,Dungeon9
23,25,Dungeon10
26,28,Dungeon4
26,28,Dungeon5
26,28,Dungeon6
26,28,Dungeon7
26,28,Dungeon8
26,28,Dungeon9
26,28,Dungeon10
29,31,Dungeon4
29,31,Dungeon5
29,31,Dungeon6
29,31,Dungeon7
29,31,Dungeon8
29,31,Dungeon9
29,31,Dungeon10
32,34,Dungeon4
32,34,Dungeon5
32,34,Dungeon6
32,34,Dungeon7
32,34,Dungeon8
32,34,Dungeon9
32,34,Dungeon10
35,37,Dungeon4
35,37,Dungeon5
35,37,Dungeon6
35,37,Dungeon7
35,37,Dungeon8
35,37,Dungeon9
35,37,Dungeon10
38,40,Dungeon4
38,40,Dungeon5
38,40,Dungeon6
38,40,Dungeon7
38,40,Dungeon8
38,40,Dungeon9
38,40,Dungeon10
41,43,Dungeon4
41,43,Dungeon5
41,43,Dungeon6
41,43,Dungeon7
41,43,Dungeon8
41,43,Dungeon9
41,43,Dungeon10
44,46,Dungeon4
44,46,Dungeon5
44,46,Dungeon6
44,46,Dungeon7
44,46,Dungeon8
44,46,Dungeon9
44,46,Dungeon10
47,49,Dungeon4
47,49,Dungeon5
47,49,Dungeon6
47,49,Dungeon7
47,49,Dungeon8
47,49,Dungeon9
47,49,Dungeon10
50,50,Dungeon4
50,50,Dungeon5
50,50,Dungeon6
50,50,Dungeon7
50,50,Dungeon8
50,50,Dungeon9
50,50,Dungeon10